02/20/2018,.53,.38,Quinnipiac,2018 Generic Congressional Vote
02/21/2018,.41,.36,Harvard-Harris,2018 Generic Congressional Vote
02/21/2018,.38,.30,Reuters/Ipsos,2018 Generic Congressional Vote
02/21/2018,.43,.35,Economist/YouGov,2018 Generic Congressional Vote
02/23/2018,.46,.39,Marist,2018 Generic Congressional Vote
02/26/2018,.54,.38,CNN,2018 Generic Congressional Vote
02/28/2018,.40,.38,Economist/YouGov,2018 Generic Congressional Vote
02/28/2018,.37,.31,Reuters/Ipsos,2018 Generic Congressional Vote
03/1/2018,.47,.32,USA Today/Suffolk,2018 Generic Congressional Vote
03/7/2018,.43,.37,Economist/YouGov,2018 Generic Congressional Vote
03/7/2018,.48,.38,Quinnipiac,2018 Generic Congressional Vote
03/7/2018,.50,.41,Monmouth,2018 Generic Congressional Vote
03/8/2018,.46,.40,Rasmussen Reports,2018 Generic Congressional Vote
03/8/2018,.38,.31,Reuters/Ipsos,2018 Generic Congressional Vote
03/13/2018,.49,.40,GWU/Battleground,2018 Generic Congressional Vote
03/14/2018,.38,.30,Reuters/Ipsos,2018 Generic Congressional Vote
03/14/2018,.43,.38,Economist/YouGov,2018 Generic Congressional Vote
03/18/2018,.50,.40,NBC News/Wall St. Jrnl,2018 Generic Congressional Vote
03/21/2018,.49,.43,Quinnipiac,2018 Generic Congressional Vote
03/21/2018,.44,.38,Economist/YouGov,2018 Generic Congressional Vote
03/22/2018,.40,.37,Reuters/Ipsos,2018 Generic Congressional Vote
03/23/2018,.44,.39,Marist,2018 Generic Congressional Vote
03/25/2018,.46,.41,FOX News,2018 Generic Congressional Vote
03/27/2018,.50,.39,PPP (D),2018 Generic Congressional Vote
03/28/2018,.42,.35,Economist/YouGov,2018 Generic Congressional Vote
03/29/2018,.50,.44,CNN,2018 Generic Congressional Vote
03/29/2018,.42,.35,Reuters/Ipsos,2018 Generic Congressional Vote
04/2/2018,.45,.34,Harvard-Harris,2018 Generic Congressional Vote
04/4/2018,.43,.34,Reuters/Ipsos,2018 Generic Congressional Vote
04/4/2018,.43,.36,Economist/YouGov,2018 Generic Congressional Vote
